rank,country,value
1,Norway,1.616463184
2,Denmark,1.482383013
3,Iceland,1.48063302
4,Switzerland,1.564979553
5,Finland,1.443571925
6,Netherlands,1.503944635
7,Canada,1.479204416
8,New Zealand,1.405706048
9,Sweden,1.494387269
10,Australia,1.484414935
11,Israel,1.375382423
12,Costa Rica,1.109706283
13,Austria,1.487097263
14,United States,1.546259284
15,Ireland,1.535706639
16,Germany,1.487923384
17,Belgium,1.463780761
18,Luxembourg,1.741943598
19,United Kingdom,1.44163394
20,Chile,1.25278461
21,United Arab Emirates,1.626343369
22,Brazil,1.10735321
23,Czech Republic,1.352682352
24,Argentina,1.185295463
25,Mexico,1.153183818
26,Singapore,1.69227767
27,Malta,1.343279839
28,Uruguay,1.217559695
29,Guatemala,0.872001946
30,Panama,1.233748436
31,France,1.430923462
32,Thailand,1.127868772
33,Taiwan Province of China,1.433626533
34,Spain,1.384397864
35,Qatar,1.870765686
36,Colombia,1.070622325
37,Saudi Arabia,1.530623555
38,Trinidad and Tobago,1.361355901
39,Kuwait,1.632952452
40,Slovakia,1.325393558
41,Bahrain,1.488412261
42,Malaysia,1.29121542
43,Nicaragua,0.737299204
44,Ecuador,1.000820398
45,El Salvador,0.909784496
46,Poland,1.291787863
47,Uzbekistan,0.786441088
48,Italy,1.395066619
49,Russia,1.281778097
50,Belize,0.907975316
51,Japan,1.416915178
52,Lithuania,1.314582348
53,Algeria,1.091864467
54,Latvia,1.260748625
55,South Korea,1.401678443
56,Moldova,0.72887063
57,Romania,1.217683911
58,Bolivia,0.833756566
59,Turkmenistan,1.130776763
60,Kazakhstan,1.28455627
61,North Cyprus,1.346911311
62,Slovenia,1.341205955
63,Peru,1.035225272
64,Mauritius,1.189395547
65,Cyprus,1.355938077
66,Estonia,1.32087934
67,Belarus,1.15655756
68,Libya,1.101803064
69,Turkey,1.198274374
70,Paraguay,0.932537317
71,"Hong Kong S.A.R., China",1.551674843
72,Philippines,0.857699215
73,Serbia,1.069317579
74,Jordan,0.991012394
75,Hungary,1.286011934
76,Jamaica,0.925579309
77,Croatia,1.222556233
78,Kosovo,0.951484382
79,China,1.081165791
80,Pakistan,0.726883531
81,Indonesia,0.995538592
82,Venezuela,1.128431201
82,Montenegro,1.121129036
84,Morocco,0.878114581
85,Azerbaijan,1.153601766
86,Dominican Republic,1.079373837
87,Greece,1.289487481
88,Lebanon,1.074987531
89,Portugal,1.315175295
90,Bosnia and Herzegovina,0.982409418
91,Honduras,0.730573118
92,Macedonia,1.064577937
93,Somalia,0.022643184
94,Vietnam,0.788547575
95,Nigeria,0.783756256
96,Tajikistan,0.524713635
97,Bhutan,0.885416389
98,Kyrgyzstan,0.596220076
99,Nepal,0.479820192
100,Mongolia,1.027235866
101,South Africa,1.054698706
102,Tunisia,1.007265806
103,Palestinian Territories,0.716249228
104,Egypt,0.989701807
105,Bulgaria,1.161459088
106,Sierra Leone,0.368420929
107,Cameroon,0.564305365
108,Iran,1.156873107
109,Albania,0.996192753
110,Bangladesh,0.586682975
111,Namibia,0.964434326
112,Kenya,0.560479462
113,Mozambique,0.23430565
114,Myanmar,0.36711055
115,Senegal,0.479309022
116,Zambia,0.636406779
117,Iraq,1.102710485
118,Gabon,1.198210239
119,Ethiopia,0.339233845
120,Sri Lanka,1.009850144
121,Armenia,0.900596738
122,India,0.792221248
123,Mauritania,0.648457289
124,Congo (Brazzaville),0.808964252
125,Georgia,0.950612664
126,Congo (Kinshasa),0.092102349
127,Mali,0.476180494
128,Ivory Coast,0.603048921
129,Cambodia,0.601765096
130,Sudan,0.659516692
131,Ghana,0.667224824
132,Ukraine,0.894651949
133,Uganda,0.381430715
134,Burkina Faso,0.350227714
135,Niger,0.161925331
136,Malawi,0.233442038
137,Chad,0.438012987
138,Zimbabwe,0.375846535
139,Lesotho,0.521021247
140,Angola,0.85842818
141,Afghanistan,0.401477218
142,Botswana,1.122094154
143,Benin,0.431085408
144,Madagascar,0.305808693
145,Haiti,0.368610263
146,Yemen,0.591683447
147,South Sudan,0.397248626
148,Liberia,0.119041793
149,Guinea,0.24454993
150,Togo,0.305444717
151,Rwanda,0.368745893
152,Syria,0.777153134
153,Tanzania,0.511135876
154,Burundi,0.091622569
