rank,country,value
1,Norway,1.53352356
2,Denmark,1.551121593
3,Iceland,1.610574007
4,Switzerland,1.516911745
5,Finland,1.540246725
6,Netherlands,1.428939223
7,Canada,1.481348991
8,New Zealand,1.548195124
9,Sweden,1.478162169
10,Australia,1.510041952
11,Israel,1.376289964
12,Costa Rica,1.416403651
13,Austria,1.459944963
14,United States,1.419920564
15,Ireland,1.558231115
16,Germany,1.472520351
17,Belgium,1.462312698
18,Luxembourg,1.457583666
19,United Kingdom,1.49646008
20,Chile,1.284024954
21,United Arab Emirates,1.266410232
22,Brazil,1.431306005
23,Czech Republic,1.433885217
24,Argentina,1.440451145
25,Mexico,1.21086216
26,Singapore,1.353814363
27,Malta,1.488411665
28,Uruguay,1.412227869
29,Guatemala,1.255585194
30,Panama,1.373192549
31,France,1.387776852
32,Thailand,1.425792456
33,Taiwan Province of China,1.384565353
34,Spain,1.532090902
35,Qatar,1.27429688
36,Colombia,1.402182937
37,Saudi Arabia,1.286677599
38,Trinidad and Tobago,1.380228519
39,Kuwait,1.259698749
40,Slovakia,1.505059242
41,Bahrain,1.323110461
42,Malaysia,1.284646034
43,Nicaragua,1.28721571
44,Ecuador,1.286168814
45,El Salvador,1.182125092
46,Poland,1.44571197
47,Uzbekistan,1.54896915
48,Italy,1.444923282
49,Russia,1.469282389
50,Belize,1.081417799
51,Japan,1.436337829
52,Lithuania,1.473516107
53,Algeria,1.146217465
54,Latvia,1.404714942
55,South Korea,1.128274441
56,Moldova,1.251825571
57,Romania,1.15009129
58,Bolivia,1.227619052
59,Turkmenistan,1.493149161
60,Kazakhstan,1.384369016
61,North Cyprus,1.186303377
62,Slovenia,1.452518821
63,Peru,1.218770385
64,Mauritius,1.20956099
65,Cyprus,1.131363273
66,Estonia,1.4766711
67,Belarus,1.444945216
68,Libya,1.35756433
69,Turkey,1.337753177
70,Paraguay,1.50728488
71,"Hong Kong S.A.R., China",1.262790918
72,Philippines,1.253917575
73,Serbia,1.258189797
74,Jordan,1.239088893
75,Hungary,1.343133092
76,Jamaica,1.368218064
77,Croatia,0.967983007
78,Kosovo,1.137853503
79,China,1.160837412
80,Pakistan,0.67269069
81,Indonesia,1.274444699
82,Venezuela,1.431337595
82,Montenegro,1.238376498
84,Morocco,0.774864435
85,Azerbaijan,1.152400255
86,Dominican Republic,1.402416706
87,Greece,1.239414573
88,Lebanon,1.129624248
89,Portugal,1.367043018
90,Bosnia and Herzegovina,1.069335938
91,Honduras,1.143944979
92,Macedonia,1.207893014
93,Somalia,0.721151352
94,Vietnam,1.277491331
95,Nigeria,1.215770483
96,Tajikistan,1.271463275
97,Bhutan,1.340126514
98,Kyrgyzstan,1.394238591
99,Nepal,1.179283261
100,Mongolia,1.493011236
101,South Africa,1.384788632
102,Tunisia,0.86835146
103,Palestinian Territories,1.155647159
104,Egypt,0.997471392
105,Bulgaria,1.434379458
106,Sierra Leone,0.984136045
107,Cameroon,0.946018219
108,Iran,0.711551249
109,Albania,0.803685248
110,Bangladesh,0.735131741
111,Namibia,1.098470807
112,Kenya,1.067950726
113,Mozambique,0.870701015
114,Myanmar,1.123235941
115,Senegal,1.179691911
116,Zambia,1.003187299
117,Iraq,0.978613198
118,Gabon,1.155620217
119,Ethiopia,0.864669204
120,Sri Lanka,1.259976387
121,Armenia,1.007483721
122,India,0.754372597
123,Mauritania,1.27203083
124,Congo (Brazzaville),0.832044363
125,Georgia,0.570614934
126,Congo (Kinshasa),1.229023457
127,Mali,1.281473398
128,Ivory Coast,0.90478003
129,Cambodia,1.006238341
130,Sudan,1.21400857
131,Ghana,0.873664737
132,Ukraine,1.394537568
133,Uganda,1.129827738
134,Burkina Faso,1.043280005
135,Niger,0.993025005
136,Malawi,0.512568831
137,Chad,0.953855872
138,Zimbabwe,1.083095908
139,Lesotho,1.190095186
140,Angola,1.10441196
141,Afghanistan,0.581543326
142,Botswana,1.221554995
143,Benin,0.435299844
144,Madagascar,0.913020372
145,Haiti,0.640449822
146,Yemen,0.935382247
147,South Sudan,0.601323128
148,Liberia,0.872117937
149,Guinea,0.791244686
150,Togo,0.43188253
151,Rwanda,0.945707023
152,Syria,0.396102607
153,Tanzania,1.041989803
154,Burundi,0.629793584
