rank,country,value
1,Switzerland,1.34951
2,Iceland,1.40223
3,Denmark,1.36058
4,Norway,1.33095
5,Canada,1.32261
6,Finland,1.31826
7,Netherlands,1.28017
8,Sweden,1.28907
9,New Zealand,1.31967
10,Australia,1.30923
11,Israel,1.22393
12,Costa Rica,1.23788
13,Austria,1.29704
14,Mexico,0.91451
15,United States,1.24711
16,Brazil,1.23287
17,Luxembourg,1.21963
18,Ireland,1.36948
19,Belgium,1.28566
20,United Arab Emirates,1.12575
21,United Kingdom,1.28548
22,Oman,1.08182
23,Venezuela,1.25596
24,Singapore,1.02
25,Panama,1.1985
26,Germany,1.29937
27,Chile,1.12447
28,Qatar,1.0786
29,France,1.26038
30,Argentina,1.24823
31,Czech Republic,1.20643
32,Uruguay,1.2089
33,Colombia,1.24018
34,Thailand,1.26504
35,Saudi Arabia,1.08393
36,Spain,1.31379
37,Malta,1.30203
38,Taiwan,1.07617
39,Kuwait,1.16594
40,Suriname,0.972
41,Trinidad and Tobago,1.18354
42,El Salvador,1.02507
43,Guatemala,1.04356
44,Uzbekistan,1.34043
45,Slovakia,1.26999
46,Japan,1.25712
47,South Korea,0.95774
48,Ecuador,0.99903
49,Bahrain,1.21624
50,Italy,1.19777
51,Bolivia,0.97841
52,Moldova,1.01528
53,Paraguay,1.30477
54,Kazakhstan,1.12241
55,Slovenia,1.27385
56,Lithuania,1.25745
57,Nicaragua,1.14184
58,Peru,0.97459
59,Belarus,1.23289
60,Poland,1.27948
61,Malaysia,1.07023
62,Croatia,0.79624
63,Libya,1.11862
64,Russia,1.23617
65,Jamaica,1.15102
66,North Cyprus,1.07008
67,Cyprus,0.89318
68,Algeria,1.07772
69,Kosovo,0.81198
70,Turkmenistan,1.22668
71,Mauritius,0.98521
72,Hong Kong,1.05818
73,Estonia,1.22791
74,Indonesia,1.08708
75,Vietnam,0.91226
76,Turkey,0.94632
77,Kyrgyzstan,1.15115
78,Nigeria,0.90432
79,Bhutan,1.10395
80,Azerbaijan,0.93793
81,Pakistan,0.41411
82,Jordan,1.05392
82,Montenegro,0.90557
84,China,0.94675
85,Zambia,0.91612
86,Romania,0.88588
87,Serbia,1.00964
88,Portugal,1.13935
89,Latvia,1.09562
90,Philippines,1.03516
91,Somaliland region,0.95152
92,Morocco,0.64095
93,Macedonia,1.00232
94,Mozambique,1.02626
95,Albania,0.80434
96,Bosnia and Herzegovina,0.91916
97,Lesotho,1.04103
98,Dominican Republic,1.17202
99,Laos,0.73803
100,Mongolia,1.3006
101,Swaziland,1.07284
102,Greece,0.92933
103,Lebanon,0.80001
104,Hungary,1.20215
105,Honduras,0.95348
106,Tajikistan,0.85563
107,Tunisia,0.60429
108,Palestinian Territories,0.92558
109,Bangladesh,0.43106
110,Iran,0.54447
111,Ukraine,1.20278
112,Iraq,0.81889
113,South Africa,1.18468
114,Ghana,0.67954
115,Zimbabwe,1.03276
116,Liberia,0.78968
117,India,0.38174
118,Sudan,1.01404
119,Haiti,0.74302
120,Congo (Kinshasa),1.0012
121,Nepal,0.86449
122,Ethiopia,0.60406
123,Sierra Leone,0.95571
124,Mauritania,0.86908
125,Kenya,0.99876
126,Djibouti,0.59207
127,Armenia,0.77711
128,Botswana,1.10464
129,Myanmar,0.70905
130,Georgia,0.38562
131,Malawi,0.41134
132,Sri Lanka,1.01905
133,Cameroon,0.88767
134,Bulgaria,1.10614
135,Egypt,0.747
136,Yemen,0.68093
137,Angola,0.8604
138,Mali,1.03526
139,Congo (Brazzaville),0.6629
140,Comoros,0.79273
141,Uganda,1.13299
142,Senegal,0.97619
143,Gabon,0.90528
144,Niger,0.77265
145,Cambodia,0.62736
146,Tanzania,1.00268
147,Madagascar,0.66801
148,Central African Republic,0
149,Chad,0.76062
150,Guinea,0.46475
151,Ivory Coast,0.77115
152,Burkina Faso,0.85188
153,Afghanistan,0.30285
154,Rwanda,0.7737
155,Benin,0.35386
156,Syria,0.47489
157,Burundi,0.41587
158,Togo,0.13995
